County,Solds,Ave List Price,Ave Sold Price,,,,
Al Counties,0,$0,$0,,,,
Baldwin,0,$0,$0,,,,
Banks,0,$0,$0,,,,
Barrow,7,"$285,657","$282,611",,,,
Bartow,8,"$242,563","$240,401",,,,
Bibb,1,"$100,000","$97,250",,,,
Bryan,1,"$300,000","$295,000",,,,
Bulloch,5,"$116,920","$114,400",,,,
Butts,2,"$238,440","$236,720",,,,
Camden,0,$0,$0,,,,
Carroll,9,"$219,843","$214,020",,,,
Chatham,6,"$308,895","$308,980",,,,
Cherokee,25,"$456,588","$455,091",,,,
Clarke,4,"$240,969","$220,475",,,,
Clayton,17,"$206,800","$205,246",,,,
Cobb,91,"$414,337","$410,017",,,,
Colquitt,1,"$171,000","$165,000",,,,
Columbia,0,$0,$0,,,,
Coweta,7,"$310,209","$313,372",,,,
Dawson,1,"$265,000","$250,000",,,,
DeKalb,76,"$377,330","$375,303",,,,
Douglas,4,"$250,250","$244,521",,,,
Effingham,0,$0,$0,,,,
Fayette,4,"$425,994","$426,625",,,,
Floyd,1,"$199,900","$185,000",,,,
Forsyth,13,"$418,600","$418,500",,,,
Fulton,122,"$518,119","$510,041",,,,
Glynn,1,"$579,000","$579,000",,,,
Gordon,0,$0,$0,,,,
Greene,2,"$499,000","$490,000",,,,
Gwinnett,62,"$358,434","$353,256",,,,
Habersham,0,$0,$0,,,,
Hall,15,"$309,965","$308,637",,,,
Hart,0,$0,$0,,,,
Henry,7,"$287,293","$286,450",,,,
Houston,4,"$209,234","$206,734",,,,
Jackson,6,"$351,612","$319,589",,,,
Liberty,1,"$189,900","$192,000",,,,
Lumpkin,0,$0,$0,,,,
Morgan,0,$0,$0,,,,
NC Counties,0,$0,$0,,,,
Newton,6,"$277,199","$277,151",,,,
Oconee,1,"$349,900","$360,000",,,,
Paulding,2,"$275,000","$275,000",,,,
Pickens,1,"$295,345","$299,930",,,,
Putnam,2,"$414,500","$385,000",,,,
Rabun,0,$0,$0,,,,
Richmond,0,$0,$0,,,,
Rockdale,8,"$271,448","$269,648",,,,
Sc Counties,2,"$532,450","$515,000",,,,
Spalding,3,"$215,967","$213,633",,,,
Towns,0,$0,$0,,,,
Troup,2,"$202,500","$202,000",,,,
Walker,0,$0,$0,,,,
Walton,5,"$273,298","$264,710",,,,
White,1,"$520,000","$475,000",,,,
