County,Number,Ave List Price
Baldwin,0,$0
Baldwin (AL),0,$0
Barrow,0,$0
Bartow,1,"$239,000"
Bibb,1,"$565,000"
Bulloch,1,"$137,700"
Carroll,1,"$310,000"
Chatham,1,"$439,900"
Cherokee,1,"$430,000"
Clarke,6,"$210,617"
Clayton,2,"$174,950"
Cobb,30,"$305,153"
Coweta,0,$0
DeKalb,41,"$356,458"
Dougherty,0,$0
Douglas,0,$0
Fannin,0,$0
Fayette,2,"$265,000"
Fl Counties,0,$0
Floyd,0,$0
Forsyth,9,"$477,127"
Fulton,165,"$526,682"
Gilmer,0,$0
Glynn,3,"$382,967"
Gordon,1,"$199,900"
Greene,1,"$168,000"
Gwinnett,14,"$284,471"
Habersham,0,$0
Hall,6,"$308,750"
Hancock,0,$0
Harris,1,"$72,500"
Hart,0,$0
Houston,0,$0
Jones,0,$0
Mcintosh,0,$0
Monroe,0,$0
Morgan,0,$0
Murray,0,$0
Muscogee,1,"$329,900"
Newton,0,$0
Oconee,0,$0
Paulding,0,$0
Pickens,0,$0
Putnam,1,"$765,000"
Rabun,1,"$320,000"
Richmond,1,"$190,000"
Rockdale,1,"$149,000"
Sc Counties,0,$0
Spalding,0,$0
Stephens,1,"$399,000"
Towns,0,$0
Walton,0,$0
White,0,$0
Whitfield,1,"$149,900"
