County,Number,Ave List Price,,,,,,,,
Al Counties,1,"$379,900",,,,,,,,
Baldwin,7,"$229,900",,,,,,,,
Banks,5,"$302,058",,,,,,,,
Barrow,16,"$380,513",,,,,,,,
Bartow,15,"$252,333",,,,,,,,
Bibb,3,"$87,633",,,,,,,,
Bryan,0,$0,,,,,,,,
Bulloch,7,"$96,429",,,,,,,,
Butts,6,"$250,823",,,,,,,,
Camden,2,"$247,450",,,,,,,,
Carroll,13,"$278,357",,,,,,,,
Chatham,10,"$491,084",,,,,,,,
Cherokee,43,"$520,167",,,,,,,,
Clarke,8,"$280,100",,,,,,,,
Clayton,61,"$242,802",,,,,,,,
Cobb,213,"$426,078",,,,,,,,
Colquitt,0,$0,,,,,,,,
Columbia,1,"$259,999",,,,,,,,
Coweta,25,"$359,068",,,,,,,,
Dawson,4,"$325,000",,,,,,,,
DeKalb,241,"$404,580",,,,,,,,
Douglas,20,"$337,912",,,,,,,,
Effingham,2,"$237,450",,,,,,,,
Fayette,11,"$593,131",,,,,,,,
Floyd,9,"$312,356",,,,,,,,
Forsyth,18,"$530,303",,,,,,,,
Fulton,465,"$565,705",,,,,,,,
Glynn,1,"$2,600,000",,,,,,,,
Gordon,3,"$250,933",,,,,,,,
Greene,1,"$345,000",,,,,,,,
Gwinnett,218,"$391,755",,,,,,,,
Habersham,2,"$375,000",,,,,,,,
Hall,57,"$363,724",,,,,,,,
Hart,4,"$536,200",,,,,,,,
Henry,49,"$302,515",,,,,,,,
Houston,5,"$234,650",,,,,,,,
Jackson,16,"$346,919",,,,,,,,
Liberty,1,"$154,900",,,,,,,,
Lumpkin,1,"$475,000",,,,,,,,
Morgan,1,"$324,500",,,,,,,,
NC Counties,0,$0,,,,,,,,
Newton,2,"$258,416",,,,,,,,
Oconee,0,$0,,,,,,,,
Paulding,9,"$330,767",,,,,,,,
Pickens,7,"$399,161",,,,,,,,
Putnam,15,"$497,224",,,,,,,,
Rabun,4,"$445,500",,,,,,,,
Richmond,1,"$165,000",,,,,,,,
Rockdale,33,"$306,030",,,,,,,,
Sc Counties,0,$0,,,,,,,,
Spalding,15,"$207,240",,,,,,,,
Towns,1,"$899,900",,,,,,,,
Troup,8,"$321,373",,,,,,,,
Walker,1,"$139,900",,,,,,,,
Walton,18,"$238,299",,,,,,,,
White,8,"$351,975",,,,,,,,
